Layer,Entity Type,Linear (m),Area (m²),Count,Material Tag,Material Key,Partition Ref,Start X,Start Y,End X,End Y,Radius
I-WALL,LINE,0.05,0.0,1,,,,149950.2493925201,464501.1516030651,149899.7495303059,464501.1516030651,
I-WALL,LINE,0.05,0.0,1,,,,149899.7495303059,464398.1516030651,149950.2493925201,464398.1516030651,
I-WALL,LINE,1.61,0.0,1,,,,149796.7495303059,464501.1516030651,149796.7495303059,462893.1876344715,
I-WALL,LINE,0.05,0.0,1,,,,149796.7495303059,462893.1876344715,149844.2495357151,462893.1876344715,
I-WALL,LINE,1.5,0.0,1,,,,149899.7495303059,462893.1876344715,149899.7495303059,464398.1516030651,
I-WALL,LINE,0.99,0.0,1,,,,149899.7495303059,464501.1516030651,149899.7495303059,465486.1876344698,
I-WALL,LINE,0.88,0.0,1,,,,149796.7495303059,465383.1876344698,149796.7495303059,464501.1516030651,
I-WALL,LINE,0.85,0.0,1,,,,149899.7495303059,465486.1876344698,149052.2495322078,465486.1876344698,
I-WALL,LINE,0.1,0.0,1,,,,149052.2495322078,465486.1876344698,149052.2495322078,465383.1876344698,
I-WALL,LINE,0.74,0.0,1,,,,149052.2495322078,465383.1876344698,149796.7495303059,465383.1876344698,
I-WALL,LINE,0.23,0.0,1,,,,151284.2495357151,462883.1516007395,151284.2495357151,463110.1876373823,
I-WALL,LINE,0.31,0.0,1,,,,151204.2495357151,463190.1876373822,151204.2495357151,462883.1516007395,
I-WALL,LINE,0.08,0.0,1,,,,151204.2495357151,462883.1516007395,151284.2495357151,462883.1516007395,
I-WALL,LINE,0.73,0.0,1,,,,151284.2495357151,463110.1876373823,152016.2495357151,463110.1876373822,
I-WALL,LINE,0.08,0.0,1,,,,152016.2495357151,463110.1876373822,152016.2495357151,463190.1876373822,
I-WALL,LINE,0.81,0.0,1,,,,152016.2495357151,463190.1876373822,151204.2495357151,463190.1876373822,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
I-WALL,LINE,0.24,0.0,1,,,,144957.2493982441,466511.0306198325,145192.2493985584,466511.0306198325,
I-WALL,LINE,0.15,0.0,1,,,,145102.2493985584,466601.0306198325,144957.2493982441,466601.0306198325,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,466601.0306198325,144957.2493982441,466511.0306198325,
I-WALL,LINE,0.7,0.0,1,,,,145192.2493985584,466511.0306198325,145192.2493985584,467208.0712533444,
I-WALL,LINE,0.02,0.0,1,,,,145192.2493985584,467384.0712533445,145192.2493985584,467401.5358229383,
I-WALL,LINE,0.8,0.0,1,,,,145102.2493985584,467401.5358229383,145102.2493985584,466601.0306198325,
I-WALL,LINE,0.15,0.0,1,,,,144957.2493982441,463404.0307427368,145102.2493985584,463404.0307427368,
I-WALL,LINE,0.24,0.0,1,,,,145192.2493985584,463494.0307427368,144957.2493982441,463494.0307427368,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,463494.0307427368,144957.2493982441,463404.0307427368,
I-WALL,LINE,0.42,0.0,1,,,,145102.2493985584,463404.0307427368,145102.2493985584,462980.1876344907,
I-WALL,LINE,0.47,0.0,1,,,,145192.2493985584,463020.6876344907,145192.2493985584,463494.0307427368,
I-WALL,LINE,1.3,0.0,1,,,,149899.7495303059,463190.1876373822,151204.2495357151,463190.1876373822,
I-WALL,LINE,1.3,0.0,1,,,,151204.2495357151,463122.6876373823,149899.7495303059,463122.6876373823,
I-WALL,LINE,6.91,0.0,1,,,,152016.2495357152,473580.1806063959,145102.2493985584,473580.1806063959,
I-WALL,LINE,3.09,0.0,1,,,,145192.2493985584,473539.6806063959,148278.7495357152,473539.6806063959,
I-WALL,LINE,3.32,0.0,1,,,,148381.7495357152,473539.6806063959,151697.2495357152,473539.6806063959,
I-WALL,LINE,0.24,0.0,1,,,,151777.2495357152,473539.6806063959,152016.2495357152,473539.6806063959,
I-WALL,LINE,0.04,0.0,1,,,,152016.2495357152,473539.6806063959,152016.2495357152,473580.1806063959,
I-WALL,LINE,0.02,0.0,1,,,,145702.2493985584,467401.5358229383,145702.2493985584,467384.0712533445,
I-WALL,LINE,0.04,0.0,1,,,,145702.2493985584,467384.0712533445,145742.7493985584,467384.0712533445,
I-WALL,LINE,0.41,0.0,1,,,,145742.7493985584,467384.0712533445,145742.7493985584,467792.0358229383,
I-WALL,LINE,0.08,0.0,1,,,,149903.749535619,469353.0358275336,149903.749535619,469431.7514839932,
I-WALL,LINE,0.18,0.0,1,,,,149800.749535619,469431.7514839932,149800.749535619,469250.0358275335,
I-WALL,LINE,0.27,0.0,1,,,,149903.749535619,470341.7514839932,149903.749535619,470612.0989423957,
I-WALL,LINE,0.17,0.0,1,,,,149800.749535619,470509.0989423957,149800.749535619,470341.7514839932,
I-WALL,LINE,4.71,0.0,1,,,,149903.749535619,470612.0989423957,145192.2493985584,470612.0989423957,
I-WALL,LINE,4.61,0.0,1,,,,145192.2493985584,470509.0989423957,149800.749535619,470509.0989423957,
I-WALL,LINE,0.81,0.0,1,,,,152016.2495357151,469353.0358275336,151203.7495351707,469353.0358275336,
I-WALL,LINE,0.09,0.0,1,,,,151100.7495351707,469353.0358275336,151008.5624985582,469353.0358275336,
I-WALL,LINE,1.01,0.0,1,,,,151008.5624985582,469250.0358275335,152016.2495357151,469250.0358275335,
I-WALL,LINE,0.09,0.0,1,,,,149998.5624985582,469353.0358275336,149903.749535619,469353.0358275336,
I-WALL,LINE,0.09,0.0,1,,,,149903.749535619,469250.0358275335,149998.5624985582,469250.0358275335,
I-WALL,LINE,1.87,0.0,1,,,,149800.749535619,469250.0358275335,149800.749535619,467384.0712533445,
I-WALL,LINE,0.1,0.0,1,,,,149800.749535619,467384.0712533445,149903.749535619,467384.0712533445,
I-WALL,LINE,0.31,0.0,1,,,,149903.749535619,467384.0712533445,149903.749535619,467697.0358231563,
I-WALL,LINE,1.46,0.0,1,,,,149903.749535619,467792.0358231564,149903.749535619,469250.0358275335,
I-WALL,LINE,0.17,0.0,1,,,,151203.7495351707,469353.0358275336,151203.7495351707,469520.1187247875,
I-WALL,LINE,0.1,0.0,1,,,,151203.7495351707,469520.1187247875,151100.7495351707,469520.1187247875,
I-WALL,LINE,0.17,0.0,1,,,,151100.7495351707,469520.1187247875,151100.7495351707,469353.0358275336,
I-WALL,LINE,0.19,0.0,1,,,,151203.7495351707,470855.1187247874,151203.7495351707,471049.4223345552,
I-WALL,LINE,0.3,0.0,1,,,,151100.7495351707,471152.4223345553,151100.7495351707,470855.1187247874,
I-WALL,LINE,0.1,0.0,1,,,,151100.7495351707,470855.1187247874,151203.7495351707,470855.1187247874,
I-WALL,LINE,0.81,0.0,1,,,,151203.7495351707,471049.4223345552,152016.2495357151,471049.4223345552,
I-WALL,LINE,0.92,0.0,1,,,,152016.2495357151,471152.4223345553,151100.7495351707,471152.4223345553,
I-WALL,LINE,0.81,0.0,1,,,,148381.7495357152,472730.1876401745,148381.7495357152,473539.6806063959,
I-WALL,LINE,0.81,0.0,1,,,,148278.7495357152,473539.6806063959,148278.7495357152,472730.1876401745,
I-WALL,LINE,0.1,0.0,1,,,,148278.7495357152,472730.1876401745,148381.7495357152,472730.1876401745,
I-WALL,LINE,0.22,0.0,1,,,,151284.2495357151,467751.5358231565,151284.2495357151,467966.5358275335,
I-WALL,LINE,0.25,0.0,1,,,,151204.2495357151,468046.5358275335,151204.2495357151,467792.0358231564,
I-WALL,LINE,0.73,0.0,1,,,,151284.2495357151,467966.5358275335,152016.2495357152,467966.5358275335,
I-WALL,LINE,0.81,0.0,1,,,,152016.2495357152,468046.5358275335,151204.2495357151,468046.5358275335,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
I-WALL,LINE,0.24,0.0,1,,,,144957.2493982441,472781.5305763912,145192.2493985584,472781.5305763912,
I-WALL,LINE,0.15,0.0,1,,,,145102.2493985584,472871.5305763912,144957.2493982441,472871.5305763912,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,472871.5305763912,144957.2493982441,472781.5305763912,
I-WALL,LINE,0.76,0.0,1,,,,145192.2493985584,472781.5305763912,145192.2493985584,473539.6806063959,
I-WALL,LINE,0.71,0.0,1,,,,145102.2493985584,473580.1806063959,145102.2493985584,472871.5305763912,
I-WALL,LINE,0.24,0.0,1,,,,144957.2493982441,469602.0306110448,145192.2493985584,469602.0306110448,
I-WALL,LINE,0.15,0.0,1,,,,145102.2493985584,469692.0306110448,144957.2493982441,469692.0306110448,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,469692.0306110448,144957.2493982441,469602.0306110448,
I-WALL,LINE,0.91,0.0,1,,,,145192.2493985584,469602.0306110448,145192.2493985584,470509.0989423957,
I-WALL,LINE,0.62,0.0,1,,,,145192.2493985584,470612.0989423957,145192.2493985584,471233.0305849855,
I-WALL,LINE,1.45,0.0,1,,,,145102.2493985584,471143.0305849855,145102.2493985584,469692.0306110448,
I-WALL,LINE,0.15,0.0,1,,,,144957.2493982441,471143.0305849855,145102.2493985584,471143.0305849855,
I-WALL,LINE,0.24,0.0,1,,,,145192.2493985584,471233.0305849855,144957.2493982441,471233.0305849855,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,471233.0305849855,144957.2493982441,471143.0305849855,
I-WALL,LINE,0.15,0.0,1,,,,144957.2493982441,467929.5306138533,145102.2493985584,467929.5306138533,
I-WALL,LINE,0.24,0.0,1,,,,145192.2493985584,468019.5306138533,144957.2493982441,468019.5306138533,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,468019.5306138533,144957.2493982441,467929.5306138533,
I-WALL,LINE,1.3,0.0,1,,,,149903.749535619,468047.5358275335,151204.2495357151,468047.5358275335,
I-WALL,LINE,1.3,0.0,1,,,,151204.2495357151,467980.0358275335,149903.749535619,467980.0358275335,
A-DETL,LINE,1.97,0.0,1,,,,156741.3892225864,453957.2473549038,154926.5827659296,453180.7473549038,
A-DETL,LINE,1.97,0.0,1,,,,154981.5060778824,453957.2473549039,156796.3125345392,453180.7473549038,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-STRS,LINE,0.03,0.0,1,,,,157457.2494633738,461295.1876344601,157457.2494633738,461270.18763446,
S-STRS,LINE,0.25,0.0,1,,,,157457.2494633738,462745.1876344601,157457.2494633738,462495.1876344601,
S-STRS-MBND,LINE,1.2,0.0,1,,,,155457.2494633738,462745.1876344601,155457.2494633738,463945.1876360505,
S-STRS,LINE,1.2,0.0,1,,,,157457.2494633738,462745.1876344601,157457.2494633738,463945.1876360505,
S-STRS,LINE,1.2,0.0,1,,,,157457.2494633738,462495.1876344601,157457.2494633738,461295.1876344601,
